scoring_mode,slot,player_name,team,total_pts,games_played,pts_per_game,slot_rank
full_ppr,DEF,HOU D/ST,HOU,194.0,17,11.41,1
full_ppr,DEF,SEA D/ST,SEA,180.0,17,10.59,2
full_ppr,DEF,CLE D/ST,CLE,166.0,17,9.76,3
full_ppr,DEF,MIN D/ST,MIN,158.0,17,9.29,4
full_ppr,DEF,DEN D/ST,DEN,156.0,17,9.18,5
full_ppr,K,Jason Myers,SEA,200.0,17,11.76,1
full_ppr,QB,Josh Allen,BUF,356.62,17,20.98,1
full_ppr,QB,Matthew Stafford,LAR,342.38,17,20.14,2
full_ppr,QB,Drake Maye,NE,341.96,17,20.12,3
full_ppr,QB,Trevor Lawrence,JAX,334.18,17,19.66,4
full_ppr,QB,Dak Prescott,DAL,305.78,17,17.99,5
full_ppr,QB,Caleb Williams,CHI,304.18,17,17.89,6
full_ppr,QB,Bo Nix,DEN,300.84,17,17.7,7
full_ppr,QB,Jared Goff,DET,295.06,17,17.36,8
full_ppr,QB,Jalen Hurts,PHI,291.06,17,17.12,9
full_ppr,QB,Patrick Mahomes,KC,279.68,17,16.45,10
full_ppr,RB,Christian McCaffrey,SF,412.6,17,24.27,1
full_ppr,RB,Bijan Robinson,ATL,368.8,17,21.69,2
full_ppr,RB,Jahmyr Gibbs,DET,364.9,17,21.46,3
full_ppr,RB,Jonathan Taylor,IND,360.3,17,21.19,4
full_ppr,RB,De'Von Achane,MIA,320.8,17,18.87,5
full_ppr,RB,James Cook,BUF,296.2,17,17.42,6
full_ppr,RB,Chase Brown,CIN,278.6,17,16.39,7
full_ppr,RB,Derrick Henry,BAL,277.5,17,16.32,8
full_ppr,RB,Kyren Williams,LAR,263.3,17,15.49,9
full_ppr,RB,Travis Etienne,JAX,251.9,17,14.82,10
full_ppr,RB,Ashton Jeanty,LV,243.1,17,14.3,11
full_ppr,RB,Javonte Williams,DAL,242.8,17,14.28,12
full_ppr,RB,Josh Jacobs,GB,235.1,17,13.83,13
full_ppr,RB,Saquon Barkley,PHI,232.3,17,13.66,14
full_ppr,RB,D'Andre Swift,CHI,228.6,17,13.45,15
full_ppr,RB,Kenneth Gainwell,PIT,219.3,17,12.9,16
full_ppr,RB,Jaylen Warren,PIT,215.1,17,12.65,17
full_ppr,RB,Rico Dowdle,CAR,214.3,17,12.61,18
full_ppr,RB,Breece Hall,NYJ,207.66,17,12.22,19
full_ppr,RB,RJ Harvey,DEN,206.6,17,12.15,20
full_ppr,RB,TreVeyon Henderson,NE,206.2,17,12.13,21
