scoring_mode,slot,player_name,team,total_pts,games_played,pts_per_game,slot_rank
half_ppr,DEF,HOU D/ST,HOU,144.0,18,8.0,1
half_ppr,DEF,PIT D/ST,PIT,138.0,18,7.67,2
half_ppr,DEF,CLE D/ST,CLE,132.0,18,7.33,3
half_ppr,DEF,CHI D/ST,CHI,129.0,18,7.17,4
half_ppr,DEF,SEA D/ST,SEA,129.0,18,7.17,5
half_ppr,K,Jason Myers,SEA,200.0,17,11.76,1
half_ppr,QB,Josh Allen,BUF,356.62,17,20.98,1
half_ppr,QB,Matthew Stafford,LAR,342.38,17,20.14,2
half_ppr,QB,Drake Maye,NE,341.46,17,20.09,3
half_ppr,QB,Trevor Lawrence,JAX,334.18,17,19.66,4
half_ppr,QB,Dak Prescott,DAL,305.78,17,17.99,5
half_ppr,QB,Caleb Williams,CHI,303.18,17,17.83,6
half_ppr,QB,Bo Nix,DEN,300.84,17,17.7,7
half_ppr,QB,Jared Goff,DET,295.06,17,17.36,8
half_ppr,QB,Jalen Hurts,PHI,291.06,17,17.12,9
half_ppr,QB,Patrick Mahomes,KC,279.18,17,16.42,10
half_ppr,RB,Christian McCaffrey,SF,361.6,17,21.27,1
half_ppr,RB,Jonathan Taylor,IND,337.3,17,19.84,2
half_ppr,RB,Bijan Robinson,ATL,329.3,17,19.37,3
half_ppr,RB,Jahmyr Gibbs,DET,326.4,17,19.2,4
half_ppr,RB,De'Von Achane,MIA,287.3,17,16.9,5
half_ppr,RB,James Cook,BUF,279.7,17,16.45,6
half_ppr,RB,Derrick Henry,BAL,270.0,17,15.88,7
half_ppr,RB,Kyren Williams,LAR,245.3,17,14.43,8
half_ppr,RB,Chase Brown,CIN,244.1,17,14.36,9
half_ppr,RB,Travis Etienne,JAX,233.9,17,13.76,10
half_ppr,RB,Javonte Williams,DAL,225.3,17,13.25,11
half_ppr,RB,Josh Jacobs,GB,217.1,17,12.77,12
half_ppr,RB,Ashton Jeanty,LV,215.6,17,12.68,13
half_ppr,RB,Saquon Barkley,PHI,213.8,17,12.58,14
half_ppr,RB,D'Andre Swift,CHI,211.6,17,12.45,15
half_ppr,RB,Jaylen Warren,PIT,195.1,17,11.48,16
half_ppr,RB,Rico Dowdle,CAR,194.8,17,11.46,17
half_ppr,RB,Breece Hall,NYJ,189.66,17,11.16,18
half_ppr,RB,TreVeyon Henderson,NE,188.7,17,11.1,19
half_ppr,RB,RJ Harvey,DEN,183.1,17,10.77,20
half_ppr,RB,Kenneth Gainwell,PIT,182.8,17,10.75,21
half_ppr,RB,Kenneth Walker III,SEA,174.4,17,10.26,22
half_ppr,RB,Zach Charbonnet,SEA,171.4,17,10.08,23
half_ppr,RB,Tony Pollard,TEN,167.3,17,9.84,24
half_ppr,RB,Rhamondre Stevenson,NE,162.8,17,9.58,25
half_ppr,TE,Trey McBride,ARI,252.9,17,14.88,1
half_ppr,TE,Kyle Pitts,ATL,166.8,17,9.81,2
half_ppr,TE,Dallas Goedert,PHI,155.1,17,9.12,3
half_ppr,TE,Travis Kelce,KC,153.2,17,9.01,4
half_ppr,TE,Harold Fannin Jr.,CLE,150.4,17,8.85,5
half_ppr,TE,Hunter Henry,NE,148.8,17,8.75,6
half_ppr,TE,Tyler Warren,IND,148.5,17,8.74,7
half_ppr,TE,Jake Ferguson,DAL,145.1,17,8.54,8
half_ppr,TE,Brock Bowers,LV,144.2,17,8.48,9
half_ppr,TE,Juwan Johnson,NO,141.4,17,8.32,10
half_ppr,TE,Colston Loveland,CHI,136.1,17,8.01,11
half_ppr,TE,Dalton Schultz,HOU,134.7,17,7.92,12
half_ppr,TE,George Kittle,SF,133.0,17,7.82,13
half_ppr,TE,AJ Barner,SEA,117.3,17,6.9,14
half_ppr,TE,Colby Parkinson,LAR,108.3,17,6.37,15
half_ppr,TE,Oronde Gadsden II,LAC,106.9,17,6.29,16
half_ppr,TE,Theo Johnson,NYG,105.3,17,6.19,17
half_ppr,TE,Mark Andrews,BAL,105.0,17,6.18,18
half_ppr,TE,Dalton Kincaid,BUF,104.6,17,6.15,19
half_ppr,TE,Tucker Kraft,GB,101.2,17,5.95,20
half_ppr,TE,Zach Ertz,WAS,99.4,17,5.85,21
half_ppr,TE,Chig Okonkwo,TEN,96.0,17,5.65,22
half_ppr,TE,Brenton Strange,JAX,95.0,17,5.59,23
half_ppr,TE,Pat Freiermuth,PIT,93.1,17,5.48,24
half_ppr,TE,Cade Otton,TB,92.7,17,5.45,25
half_ppr,WR,Puka Nacua,LAR,310.5,17,18.26,1
half_ppr,WR,Jaxon Smith-Njigba,SEA,296.4,17,17.44,2
half_ppr,WR,Amon-Ra St. Brown,DET,263.5,17,15.5,3
half_ppr,WR,Ja'Marr Chase,CIN,251.1,17,14.77,4
half_ppr,WR,George Pickens,DAL,237.4,17,13.96,5
half_ppr,WR,Chris Olave,NO,218.0,17,12.82,6
half_ppr,WR,Zay Flowers,BAL,200.3,17,11.78,7
half_ppr,WR,Davante Adams,LAR,192.9,17,11.35,8
half_ppr,WR,Nico Collins,HOU,190.7,17,11.22,9
half_ppr,WR,Jameson Williams,DET,187.4,17,11.02,10
half_ppr,WR,Courtland Sutton,DEN,182.7,17,10.75,11
half_ppr,WR,Tee Higgins,CIN,182.1,17,10.71,12
half_ppr,WR,Michael Wilson,ARI,181.6,17,10.68,13
half_ppr,WR,A.J. Brown,PHI,181.3,17,10.66,14
half_ppr,WR,Tetairoa McMillan,CAR,176.4,17,10.38,15
half_ppr,WR,Wan'Dale Robinson,NYG,169.9,17,9.99,16
half_ppr,WR,Drake London,ATL,167.9,17,9.88,17
half_ppr,WR,Stefon Diggs,NE,167.8,17,9.87,18
half_ppr,WR,Emeka Egbuka,TB,164.2,17,9.66,19
half_ppr,WR,CeeDee Lamb,DAL,163.4,17,9.61,20
half_ppr,WR,DeVonta Smith,PHI,163.3,17,9.61,21
half_ppr,WR,Michael Pittman,IND,162.4,17,9.55,22
half_ppr,WR,Jaylen Waddle,MIA,160.12,17,9.42,23
half_ppr,WR,Alec Pierce,IND,159.8,17,9.4,24
half_ppr,WR,Justin Jefferson,MIN,159.5,17,9.38,25
