scoring_mode,slot,player_name,team,total_pts,games_played,pts_per_game,slot_rank
standard,DEF,HOU D/ST,HOU,144.0,17,8.47,1
standard,DEF,PIT D/ST,PIT,138.0,17,8.12,2
standard,DEF,CLE D/ST,CLE,132.0,17,7.76,3
standard,DEF,CHI D/ST,CHI,129.0,17,7.59,4
standard,DEF,SEA D/ST,SEA,129.0,17,7.59,5
standard,K,Jason Myers,SEA,200.0,17,11.76,1
standard,QB,Josh Allen,BUF,356.62,17,20.98,1
standard,QB,Matthew Stafford,LAR,342.38,17,20.14,2
standard,QB,Drake Maye,NE,340.96,17,20.06,3
standard,QB,Trevor Lawrence,JAX,334.18,17,19.66,4
standard,QB,Dak Prescott,DAL,305.78,17,17.99,5
standard,QB,Caleb Williams,CHI,302.18,17,17.78,6
standard,QB,Bo Nix,DEN,300.84,17,17.7,7
standard,QB,Jared Goff,DET,295.06,17,17.36,8
standard,QB,Jalen Hurts,PHI,291.06,17,17.12,9
standard,QB,Patrick Mahomes,KC,278.68,17,16.39,10
standard,RB,Jonathan Taylor,IND,314.3,17,18.49,1
standard,RB,Christian McCaffrey,SF,310.6,17,18.27,2
standard,RB,Bijan Robinson,ATL,289.8,17,17.05,3
standard,RB,Jahmyr Gibbs,DET,287.9,17,16.94,4
standard,RB,James Cook,BUF,263.2,17,15.48,5
standard,RB,Derrick Henry,BAL,262.5,17,15.44,6
standard,RB,De'Von Achane,MIA,253.8,17,14.93,7
standard,RB,Kyren Williams,LAR,227.3,17,13.37,8
standard,RB,Travis Etienne,JAX,215.9,17,12.7,9
standard,RB,Chase Brown,CIN,209.6,17,12.33,10
standard,RB,Javonte Williams,DAL,207.8,17,12.22,11
standard,RB,Josh Jacobs,GB,199.1,17,11.71,12
standard,RB,Saquon Barkley,PHI,195.3,17,11.49,13
standard,RB,D'Andre Swift,CHI,194.6,17,11.45,14
standard,RB,Ashton Jeanty,LV,188.1,17,11.06,15
standard,RB,Rico Dowdle,CAR,175.3,17,10.31,16
standard,RB,Jaylen Warren,PIT,175.1,17,10.3,17
standard,RB,Breece Hall,NYJ,171.66,17,10.1,18
standard,RB,TreVeyon Henderson,NE,171.2,17,10.07,19
standard,RB,Zach Charbonnet,SEA,161.4,17,9.49,20
standard,RB,RJ Harvey,DEN,159.6,17,9.39,21
standard,RB,Kenneth Walker III,SEA,158.9,17,9.35,22
standard,RB,Tony Pollard,TEN,150.8,17,8.87,23
standard,RB,Rhamondre Stevenson,NE,146.8,17,8.64,24
standard,RB,Kenneth Gainwell,PIT,146.3,17,8.61,25
standard,TE,Trey McBride,ARI,189.9,17,11.17,1
standard,TE,Dallas Goedert,PHI,125.1,17,7.36,2
standard,TE,Kyle Pitts,ATL,122.8,17,7.22,3
standard,TE,Hunter Henry,NE,118.8,17,6.99,4
standard,TE,Travis Kelce,KC,115.2,17,6.78,5
standard,TE,Harold Fannin Jr.,CLE,114.4,17,6.73,6
standard,TE,Brock Bowers,LV,112.2,17,6.6,7
standard,TE,Tyler Warren,IND,110.5,17,6.5,8
standard,TE,Colston Loveland,CHI,107.1,17,6.3,9
standard,TE,George Kittle,SF,104.5,17,6.15,10
standard,TE,Jake Ferguson,DAL,104.1,17,6.12,11
standard,TE,Juwan Johnson,NO,102.9,17,6.05,12
standard,TE,Dalton Schultz,HOU,93.7,17,5.51,13
standard,TE,AJ Barner,SEA,91.3,17,5.37,14
standard,TE,Colby Parkinson,LAR,86.8,17,5.11,15
standard,TE,Tucker Kraft,GB,85.2,17,5.01,16
standard,TE,Dalton Kincaid,BUF,85.1,17,5.01,17
standard,TE,Theo Johnson,NYG,82.8,17,4.87,18
standard,TE,Oronde Gadsden II,LAC,82.4,17,4.85,19
standard,TE,Mark Andrews,BAL,81.0,17,4.76,20
standard,TE,Zach Ertz,WAS,74.4,17,4.38,21
standard,TE,Pat Freiermuth,PIT,72.6,17,4.27,22
standard,TE,Brenton Strange,JAX,72.0,17,4.24,23
standard,TE,Chig Okonkwo,TEN,68.0,17,4.0,24
standard,TE,Dawson Knox,BUF,67.7,17,3.98,25
standard,WR,Puka Nacua,LAR,246.0,17,14.47,1
standard,WR,Jaxon Smith-Njigba,SEA,236.9,17,13.94,2
standard,WR,Amon-Ra St. Brown,DET,205.0,17,12.06,3
standard,WR,George Pickens,DAL,190.9,17,11.23,4
standard,WR,Ja'Marr Chase,CIN,188.6,17,11.09,5
standard,WR,Chris Olave,NO,168.0,17,9.88,6
standard,WR,Davante Adams,LAR,162.9,17,9.58,7
standard,WR,Zay Flowers,BAL,157.3,17,9.25,8
standard,WR,Nico Collins,HOU,155.2,17,9.13,9
standard,WR,Jameson Williams,DET,154.9,17,9.11,10
standard,WR,Tee Higgins,CIN,152.6,17,8.98,11
standard,WR,Courtland Sutton,DEN,145.7,17,8.57,12
standard,WR,Michael Wilson,ARI,142.6,17,8.39,13
standard,WR,A.J. Brown,PHI,142.3,17,8.37,14
standard,WR,Tetairoa McMillan,CAR,141.4,17,8.32,15
standard,WR,Alec Pierce,IND,136.3,17,8.02,16
standard,WR,Drake London,ATL,133.9,17,7.88,17
standard,WR,Emeka Egbuka,TB,132.7,17,7.81,18
standard,WR,DK Metcalf,PIT,128.2,17,7.54,19
standard,WR,Jaylen Waddle,MIA,128.12,17,7.54,20
standard,WR,CeeDee Lamb,DAL,125.9,17,7.41,21
standard,WR,Stefon Diggs,NE,125.3,17,7.37,22
standard,WR,DeVonta Smith,PHI,124.8,17,7.34,23
standard,WR,Wan'Dale Robinson,NYG,123.9,17,7.29,24
standard,WR,Parker Washington,JAX,122.7,17,7.22,25
